route_id,service_id,trip_id,trip_headsign,direction_id,direction,block_id,shape_id,wheelchair_accessible,branch_letter,boarding_type
902,DEC22-RAIL-Weekday-01,23112069-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,34,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112070-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,35,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112071-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,36,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112072-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,32,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112073-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,36,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112074-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,37,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112075-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,38,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112076-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,34,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112077-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,35,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112078-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,37,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112079-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,38,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112080-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,31,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112081-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,32,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112082-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,40,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112083-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,37,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112085-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,34,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112086-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,35,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112087-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,36,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112090-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,33,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112091-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,33,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112092-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,31,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112095-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,31,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112096-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,33,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112098-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,31,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112099-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,35,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112104-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,31,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112106-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,7,68902005,1,,1
902,DEC22-RAIL-Weekday-01,23112107-DEC22-RAIL-Weekday-01,to St. Paul-Union Depot,0,EB,33,68902005,1,,1
